id,imps
89370,150
89371,150
89373,7
89374,150
89375,150
89376,150
89377,150
89378,60
89379,150
16-07,150
81-18,150
81-19,150
81-14,150
81-15,150
16-06,150
81-17,150
81-10,150
81-11,150
81-12,150
81-13,150
67342,100
88395,100
88394,150
88391,60
88390,150
46139,150
46138,150
46137,100
46136,150
46135,150
46134,150
46133,150
46132,100
46131,150
46130,150
16-04,150
91135,100
80599,150
80598,150
80597,150
80596,60
80595,100
80594,150
80593,150
80592,150
80591,150
80590,100
88023,60
88022,150
88021,100
88020,100
12019,150
12018,150
88025,150
88024,100
12015,150
12014,150
12017,150
12016,150
12011,150
12010,150
12013,100
12012,100
17258,150
17259,100
17250,150
52461,150
17252,150
17253,60
17254,150
17255,30
17256,100
17257,150
63024,150
63025,150
63026,150
63027,100
63020,150
63021,150
63022,100
63023,150
80279,60
63028,150
63029,100
80276,150
21619,150
21618,150
21615,150
21614,150
21617,30
21616,150
21611,150
21610,150
21613,150
21612,150
80272,150
80273,150
69170,30
69171,7
69172,60
69173,60
69174,30
69175,7
69176,30
69177,7
69178,60
69179,7
68-01,150
91130,150
58079,150
58078,150
58075,150
58074,150
58077,150
58076,150
58071,150
58070,150
58073,150
58072,150
86-08,150
86-09,150
86-03,150
86-01,150
86-06,150
86-04,150
86-05,150
91075,7
81-16,150
13058,150
13059,150
13052,150
13053,60
13050,60
13051,60
13056,150
13057,150
13054,7
13055,150
54170,150
54171,60
54172,150
54173,150
54174,30
54175,60
54176,150
54177,150
54178,100
54179,150
62089,60
62088,30
62085,150
62084,150
62087,100
62086,150
62081,100
62080,100
62083,30
62082,150
27618,60
27617,100
27616,60
27615,30
27614,100
27613,150
27612,30
27611,30
27610,30
59038,150
59039,7
59032,7
59033,30
59031,60
59036,30
59037,100
59034,30
59035,30
2B153,150
2B152,150
2B150,60
2B157,150
2B156,150
2B155,150
2B159,150
66122,60
50419,100
50418,100
66123,150
50413,100
50412,150
50411,30
50410,150
50417,150
50416,150
50415,150
50414,150
66121,60
66126,60
66127,60
66124,150
06108,30
06109,30
06106,150
06107,150
06104,30
06105,60
06102,150
06103,150
06100,150
06101,150
88393,100
88392,150
65268,150
65269,150
65264,150
65265,150
65266,150
65267,150
65260,150
65261,150
65262,150
65263,150
32224,150
32225,150
32226,150
32227,150
32220,150
32221,150
32222,150
32223,150
32228,150
32229,150
57661,150
57660,30
57663,30
57662,150
57665,150
57664,150
57667,60
57666,30
57669,30
57668,150
52103,150
52102,60
52101,150
52107,150
52106,150
52105,150
52104,7
52109,150
52108,150
60018,100
60019,150
60014,60
60015,60
60016,60
60017,100
60010,30
60011,150
60012,100
60013,150
09228,150
09229,150
09226,150
09227,150
09224,150
09225,30
09222,150
09223,150
09220,150
09221,100
57085,60
57084,150
57087,60
57086,150
57081,150
57080,150
57083,100
57082,150
57089,150
57088,150
24146,150
24147,150
24144,150
24145,7
24142,150
24143,100
24140,150
24141,150
24148,150
88027,150
54275,150
88026,60
68348,30
68349,60
68344,150
68345,30
68347,60
68340,150
68341,60
68342,30
68343,60
88028,150
67378,150
67379,30
67374,30
67375,30
67377,150
67370,150
67371,150
67372,60
67373,100
52468,150
52469,30
30334,30
30335,150
30336,30
30337,30
30330,60
30331,60
30332,150
30333,30
38-03,150
38-02,150
38-01,150
76164,100
30338,150
30339,150
76161,100
38-04,150
15163,150
15164,100
15165,150
15166,150
15167,150
69299,150
52463,150
52464,150
52465,150
52467,150
91216,30
91215,30
35218,60
35219,100
35214,150
35215,30
35216,60
35217,30
35210,30
35211,150
35212,60
02120,150
02121,150
02122,150
02123,150
02124,150
02125,150
02126,150
02127,150
02128,150
02129,150
07338,150
07339,7
24586,100
24587,30
57471,60
10257,150
61474,150
61476,150
10256,30
55202,150
61478,30
55206,150
84127,150
84129,30
38561,150
38560,150
38563,7
38562,60
38565,30
38564,100
38567,30
38566,30
70138,150
70136,7
70137,150
70134,7
70135,150
70132,60
70133,150
70130,150
67221,30
02465,150
02464,100
02467,150
02466,150
02461,30
02460,150
02463,150
02462,150
36174,150
36175,150
36176,150
36177,150
02469,100
02468,150
36172,150
36173,150
33528,150
33529,150
33524,7
33525,60
33526,150
33527,30
33520,150
33521,150
33522,7
33523,100
87127,150
04152,150
04151,60
04150,150
04157,150
04156,100
04155,150
04154,150
04159,150
04158,150
87129,100
87128,150
76206,60
76207,30
76204,150
76205,150
76202,150
76203,30
76200,100
76201,150
76208,60
76209,60
53-04,150
53-05,150
53-06,150
53-07,150
53-01,150
53-02,150
53-03,150
53-09,150
65068,150
65069,150
65066,150
65067,150
65064,150
65065,30
65062,150
65063,150
65060,150
65061,150
50278,150
89235,60
89234,150
89237,150
89236,7
89230,30
89233,150
89232,60
89239,7
89238,150
16002,100
16003,100
16001,150
16007,150
16004,150
16005,150
16008,150
16009,150
2A300,150
17359,60
17358,150
17355,150
17354,60
17357,150
