id,postcode,name,density,x,y
01-01,,Ambérieu-en-Bugey,30,,
01-02,,Attignat,59,,
01-03,,Bellegarde-sur-Valserine,30,,
01-04,,Belley,38,,
01-07,,Ceyzériat,27,,
01-08,,Châtillon-sur-Chalaronne,34,,
01-09,,Gex,50,,
01-10,,Hauteville-Lompnes,19,,
01-11,,Lagnieu,25,,
01-12,,Meximieux,42,,
01-14,,Nantua,28,,
01-16,,Pont-d'Ain,31,,
01-17,,Replonges,33,,
01-18,,Saint-Étienne-du-Bois,34,,
01-20,,Thoiry,23,,
01-22,,Villars-les-Dombes,37,,
01-23,,Vonnas,62,,
01001,01400,L'Abergement-Clémenciat,49,4.93,46.15
01002,01640,L'Abergement-de-Varey,26,5.43,46.01
01004,01500,Ambérieu-en-Bugey,579,5.37,45.96
01005,01330,Ambérieux-en-Dombes,103,4.91,46.00
01006,01300,Ambléon,19,5.59,45.75
01007,01500,Ambronay,73,5.36,46.01
01008,01500,Ambutrix,142,5.33,45.94
01009,01300,Andert-et-Condon,49,5.66,45.79
01010,01350,Anglefort,37,5.79,45.91
01011,01100,Apremont,26,5.66,46.21
01012,01110,Aranc,14,5.51,46.00
01013,01230,Arandas,11,5.50,45.89
01014,01100,Arbent,146,5.69,46.28
01015,01300,Arbignieu,37,5.65,45.72
01016,01190,Arbigny,24,4.96,46.48
01017,01230,Argis,54,5.48,45.93
01019,01510,Armix,3,5.58,45.85
01021,01480,Ars-sur-Formans,251,4.82,45.99
01022,01510,Artemare,313,5.69,45.87
01023,01570,Asnières-sur-Saône,15,4.88,46.39
01024,01340,Attignat,166,5.18,46.29
01025,01380,Bâgé-la-Ville,79,4.95,46.32
01026,01380,Bâgé-le-Châtel,942,4.93,46.31
01027,01360,Balan,154,5.11,45.83
01028,01990,Baneins,63,4.90,46.11
01029,01270,Beaupont,48,5.26,46.43
01030,01480,Beauregard,921,4.76,46.00
01031,01100,Bellignat,465,5.64,46.24
01032,01360,Béligneux,238,5.14,45.86
01033,01200,Bellegarde-sur-Valserine,760,5.83,46.11
01034,01300,Belley,396,5.68,45.75
01035,01130,Belleydoux,19,5.79,46.25
01036,01260,Belmont-Luthézieu,27,5.65,45.89
01037,01470,Bénonces,18,5.48,45.84
01038,01370,Bény,39,5.28,46.32
01039,01350,Béon,42,5.75,45.86
01040,01340,Béréziat,43,5.04,46.37
01041,01500,Bettant,219,5.37,45.94
01042,01290,Bey,94,4.85,46.22
01043,01700,Beynost,426,5.00,45.84
01044,01200,Billiat,40,5.77,46.08
01045,01330,Birieux,17,5.04,45.95
01046,01290,Biziat,72,4.94,46.23
01047,01150,Blyes,98,5.25,45.85
01049,01120,La Boisse,309,5.03,45.84
01050,01380,Boissey,33,5.00,46.37
01051,01450,Bolozon,18,5.47,46.20
01052,01330,Bouligneux,12,4.99,46.02
01053,01000,Bourg-en-Bresse,1684,5.25,46.21
01054,01800,Bourg-Saint-Christophe,137,5.14,45.89
01056,01640,Boyeux-Saint-Jérôme,21,5.46,46.04
01057,01190,Boz,68,4.91,46.41
01058,01300,Brégnier-Cordon,81,5.62,45.64
01059,01260,Brénaz,9,5.74,45.95
01060,01110,Brénod,23,5.61,46.08
01061,01300,Brens,176,5.69,45.71
01062,01360,Bressolles,101,5.10,45.87
01063,01460,Brion,115,5.55,46.17
01064,01470,Briord,75,5.49,45.77
01065,01310,Buellas,168,5.15,46.21
01066,01510,La Burbanche,7,5.55,45.86
01067,01430,Ceignes,26,5.50,46.13
01068,01450,Cerdon,60,5.48,46.07
01069,01240,Certines,91,5.26,46.13
01071,01170,Cessy,679,6.08,46.32
01072,01250,Ceyzériat,314,5.32,46.18
01073,01350,Ceyzérieu,50,5.72,45.83
01074,01320,Chalamont,73,5.17,46.01
01075,01480,Chaleins,68,4.80,46.03
01076,01230,Chaley,30,5.54,45.95
01077,01450,Challes-la-Montagne,23,5.46,46.12
01078,01630,Challex,160,5.97,46.18
01079,01260,Champagne-en-Valromey,43,5.69,45.93
01080,01110,Champdor,27,5.60,46.02
01081,01410,Champfromier,21,5.82,46.22
01082,01420,Chanay,35,5.77,46.01
01083,01990,Chaneins,65,4.85,46.09
01084,01400,Chanoz-Châtenay,55,5.03,46.19
01085,01240,La Chapelle-du-Châtelard,27,5.02,46.07
01087,01130,Charix,15,5.68,46.19
01088,01800,Charnoz-sur-Ain,138,5.22,45.87
01089,01500,Château-Gaillard,117,5.31,45.97
01090,01320,Châtenay,23,5.20,46.03
01091,01200,Châtillon-en-Michaille,83,5.77,46.13
01092,01320,Châtillon-la-Palud,113,5.24,45.97
01093,01400,Châtillon-sur-Chalaronne,276,4.96,46.12
01094,01190,Chavannes-sur-Reyssouze,43,5.01,46.44
