id,impsp
89370,274
89371,28
89373,14317
89374,61
89375,47
89376,28
89377,47
89378,1057
89379,47
16-07,150
81-18,150
81-19,150
81-14,150
81-15,150
16-06,150
81-17,150
81-10,150
81-11,150
81-12,150
81-13,150
67342,520
88395,653
88394,47
88391,1076
88390,47
46139,194
46138,42
46137,702
46136,138
46135,30
46134,138
46133,46
46132,525
46131,46
46130,270
16-04,150
91135,516
80599,204
80598,100
80597,305
80596,856
80595,785
80594,390
80593,150
80592,206
80591,425
80590,635
88023,857
88022,364
88021,653
88020,527
12019,23
12018,93
88025,40
88024,650
12015,56
12014,52
12017,33
12016,206
12011,56
12010,86
12013,719
12012,613
17258,198
17259,723
17250,418
52461,32
17252,350
17253,1430
17254,179
17255,2668
17256,574
17257,26
63024,25
63025,52
63026,52
63027,702
63020,152
63021,177
63022,688
63023,46
80279,1181
63028,6
63029,688
80276,227
21619,335
21618,213
21615,19
21614,427
21617,3818
21616,406
21611,116
21610,213
21613,53
21612,423
80272,256
80273,227
69170,2099
69171,8386
69172,919
69173,1316
69174,2484
69175,8386
69176,2099
69177,8386
69178,861
69179,7756
68-01,150
91130,84
58079,301
58078,49
58075,89
58074,43
58077,40
58076,60
58071,12
58070,74
58073,301
58072,367
86-08,150
86-09,150
86-03,150
86-01,150
86-06,150
86-04,150
86-05,150
91075,8945
81-16,150
13058,395
13059,302
13052,270
13053,1109
13050,1486
13051,1421
13056,150
13057,328
13054,49048
13055,150
54170,222
54171,1471
54172,110
54173,78
54174,5574
54175,941
54176,78
54177,78
54178,669
54179,246
62089,1480
62088,1778
62085,423
62084,454
62087,775
62086,71
62081,796
62080,596
62083,1623
62082,263
27618,1173
27617,723
27616,1250
27615,1944
27614,723
27613,314
27612,2023
27611,1944
27610,1832
59038,120
59039,9577
59032,47973
59033,3396
59031,1203
59036,1676
59037,611
59034,3149
59035,1676
2B153,0
2B152,32
2B150,902
2B157,2
2B156,0
2B155,45
2B159,0
66122,954
50419,529
50418,678
66123,4
50413,737
50412,180
50411,4018
50410,463
50417,100
50416,270
50415,52
50414,224
66121,831
66126,1355
66127,1456
66124,230
06108,1642
06109,2032
06106,15
06107,15
06104,3136
06105,1311
06102,38
06103,119
06100,106
06101,49
88393,527
88392,47
65268,422
65269,139
65264,221
65265,185
65266,16
65267,402
65260,87
65261,16
65262,221
65263,50
32224,46
32225,88
32226,105
32227,25
32220,264
32221,87
32222,264
32223,36
32228,90
32229,196
57661,321
57660,2985
57663,2126
57662,461
57665,302
57664,273
57667,923
57666,2065
57669,1629
57668,169
52103,66
52102,935
52101,49
52107,76
52106,29
52105,54
52104,9306
52109,22
52108,54
60018,757
60019,38
60014,1310
60015,1299
60016,1299
60017,635
60010,4346
60011,466
60012,551
60013,464
09228,29
09229,333
09226,9
09227,428
09224,121
09225,5775
09222,6
09223,22
09220,29
09221,561
57085,923
57084,160
57087,923
57086,160
57081,273
57080,61
57083,645
57082,361
57089,321
57088,361
24146,131
24147,34
24144,271
24145,12010
24142,292
24143,628
24140,388
24141,116
24148,202
88027,185
54275,90
88026,1065
68348,3981
68349,837
68344,9
68345,2037
68347,830
68340,453
68341,1062
68342,4855
68343,1599
88028,220
67378,491
67379,1858
67374,2454
67375,2454
67377,187
67370,344
67371,344
67372,1544
67373,690
52468,76
52469,5633
30334,2463
30335,58
30336,4202
30337,2463
30330,1439
30331,928
30332,2
30333,2068
38-03,150
38-02,150
38-01,150
76164,679
30338,45
30339,38
76161,604
38-04,150
15163,50
15164,798
15165,41
15166,66
15167,148
69299,150
52463,14
52464,63
52465,32
52467,63
91216,5769
91215,4117
35218,1122
35219,504
35214,192
35215,2210
35216,1402
35217,1835
35210,2835
35211,376
35212,1122
02120,292
02121,161
02122,186
02123,330
02124,330
02125,54
02126,72
02127,313
02128,184
02129,292
07338,146
07339,8846
24586,592
24587,3189
57471,923
10257,33
61474,43
61476,19
10256,1672
55202,122
61478,4222
55206,83
84127,277
84129,5394
38561,107
38560,441
38563,13085
38562,1300
38565,2695
38564,740
38567,1721
38566,1782
70138,101
70136,10305
70137,66
70134,10305
70135,57
70132,1479
70133,234
70130,164
67221,1858
02465,54
02464,730
02467,141
02466,141
02461,4102
02460,136
02463,404
02462,313
36174,45
36175,142
36176,385
36177,45
02469,677
02468,136
36172,136
36173,385
33528,232
33529,150
33524,6583
33525,1349
33526,376
33527,3909
33520,139
33521,189
33522,64312
33523,508
87127,413
04152,293
04151,994
04150,184
04157,9
04156,622
04155,11
04154,23
04159,36
04158,95
87129,498
87128,176
76206,1375
76207,2471
76204,410
76205,361
76202,168
76203,5998
76200,602
76201,150
76208,1507
76209,1507
53-04,150
53-05,150
53-06,150
53-07,150
53-01,150
53-02,150
53-03,150
53-09,150
65068,50
65069,96
65066,49
65067,422
65064,49
65065,4640
65062,355
65063,297
65060,438
65061,139
50278,291
89235,1057
89234,26
89237,93
89236,14317
89230,1961
89233,93
89232,1057
89239,14317
89238,16
16002,625
16003,746
16001,208
16007,11
16004,145
16005,200
16008,200
16009,11
2A300,27
17359,1206
17358,85
17355,198
17354,965
17357,198
17356,179
17351,979
17350,1898
17353,723
17352,179
60258,466
60259,1542
60256,856
60257,856
60254,1193
60255,218
60252,1310
60253,250
60250,40000
60251,1069
64007,4383
64006,14
64005,251
64004,152
64003,1570
64002,1029
64001,64
69032,8386
69039,1396
69038,236
64009,2706
64008,189
67082,364
71539,59
71538,75
49158,1561
49159,492
49150,111
49151,150
49153,150
49154,1613
49155,479
49156,260
49157,615
71531,92
71530,123
42177,427
42176,587
42175,2037
42174,2037
42173,255
42172,465
42171,151
42170,2720
80386,748
80387,292
80384,2428
80385,635
80383,1087
42179,5719
42178,320
12208,600
12209,12
12204,3805
12205,1841
12206,117
12207,56
12200,29
12201,195
12202,17759
12203,41
63257,152
63256,90
63255,447
63254,859
63253,466
63252,711
63251,19
63250,275
95183,958
63259,621
63258,23
21408,225
21409,956
21404,152
21405,406
21406,116
21407,493
21400,19
21401,406
21402,13
21403,19
62782,796
62783,247
62780,796
62781,796
62786,1443
62787,963
62784,71
62785,837
79218,81
62788,1778
62789,1443
79219,525
91345,15641
91347,12059
91340,7360
79212,200
71219,1033
54035,147
54034,55
54037,1541
54036,1518
54031,508
54030,147
54033,374
54032,153
24577,292
24576,131
24575,269
24574,182
24573,116
54038,67
24571,131
24570,388
62126,1968
62127,285
28409,468
28408,1602
62122,263
62123,963
62120,1249
62121,596
28403,2339
28402,887
28401,534
28400,80
28407,105
28406,194
28405,2590
28404,2590
34329,896
34328,2057
34327,2577
34326,72
34325,1448
34324,896
34323,2919
34322,1385
34321,2914
34320,1776
35058,583
35059,3527
35056,1582
35057,427
35054,2184
35055,3564
35052,5487
35053,378
35050,1582
35051,30762
55128,16
55129,16
55120,4409
55121,54
55122,1126
55123,4409
55124,83
55125,255
55127,16
59205,1684
59204,180
59207,537
59206,785
59201,6995
59200,1623
27008,918
27009,201
27006,3721
27007,8
27004,2249
27005,1991
27002,109
27003,6561
27001,1122
74051,1499
74050,550
74053,622
74052,1499
74055,354
74054,1467
74057,7489
74056,1854
74059,5173
74058,79
68147,964
81-08,150
51357,738
19-14,150
85261,310
51355,187
32057,534
32056,87
32055,36
32054,23
32053,90
32052,46
32051,253
32050,88
19-11,150
32059,53
32058,79
51351,115
19-12,150
23263,95
83098,1968
26067,2
26066,280
26065,2031
26064,3707
26063,177
26062,27
26061,1349
26060,11
70232,101
26069,246
26068,67
91363,2420
01068,179
01069,288
64370,1029
01060,217
01061,2549
01062,1773
01063,986
01064,225
01065,622
01066,217
01067,157
64372,64
64375,358
64374,5655
57430,1149
57431,1482
57432,1482
57433,3380
57434,35
64377,1313
57436,124
57437,503
57438,414
57439,503
64376,3565
14668,249
14669,469
14660,647
14661,365
14662,23
14663,5637
14664,342
14665,24
14666,126
14667,249
67087,1544
83092,221
81086,56
47219,105
47218,646
83091,3261
80528,227
71571,47
71570,129
71573,250
71572,1033
71574,776
71577,168
47214,226
71579,302
71578,153
47217,152
47216,70
47211,75
47210,256
80522,206
15139,13
15138,137
47213,91
80523,2428
15133,148
15132,25
15131,34
15130,798
15137,13
15136,14
15135,41
15134,51
39559,184
39558,1427
39553,241
39552,1427
39551,296
39550,1427
39557,123
39556,180
39555,210
39554,1403
78118,16708
78117,6863
78113,4066
34046,13
34047,2057
34044,1405
34045,2919
34042,951
34043,2898
34040,27
34041,2919
72211,248
72210,242
72213,2579
72212,451
72215,529
72214,231
34048,2898
34049,139
67084,184
31492,1211
31493,135
31490,2102
31491,93
31496,885
31497,14757
31494,142
31495,520
31498,135
31499,5279
47251,226
47250,226
47253,205
47252,992
47255,152
47254,284
47257,514
47256,105
47259,108
47258,75
88298,653
88299,857
88290,527
88291,38
88292,857
88293,40
88294,2478
88295,857
88296,364
88297,1065
2A144,0
2A146,0
2A141,0
2A142,27
77069,1034
77068,491
86269,110
86268,786
77061,6251
77060,488
77063,724
77062,19370
77065,1034
86262,274
77067,5934
77066,1128
49-10,150
49-11,150
49-13,150
49-14,150
49-15,150
49-16,150
49-17,150
49-18,150
49-19,150
71362,1807
71363,228
71369,2211
80148,618
80149,635
80140,856
80141,2216
80142,176
80143,206
80144,1181
80145,90
80146,592
80147,635
10354,169
10355,1277
10356,69
10357,498
10350,51
10351,2173
10352,1672
10353,84
10358,123
10359,141
70309,66
70308,27
70301,455
70303,64
70302,109
70305,1479
70304,1860
70307,169
70306,1860
45341,252
45340,429
45343,1886
45342,557
45345,1886
45344,1239
45347,2400
45346,92
45348,2400
73224,118
40269,1277
40268,1028
40261,4113
40260,351
40263,351
40262,97
40265,29
40264,4113
40267,29
40266,100
14303,6173
14302,38
14301,1137
14300,333
14307,1687
14306,292
14305,327
14304,2517
14309,251
14308,333
2B328,45
2B329,584
2B320,45
2B321,3
2B327,5
63349,115
63348,23
71096,92
78588,974
78586,31279
63347,678
63346,3
82179,95
82178,701
82173,701
82172,52
82171,1458
82170,896
82177,88
82176,184
82175,896
82174,1343
66142,102
79049,3648
66143,83
19263,333
19262,29
19261,22
19260,204
19266,688
19265,8
19264,7
19269,56
19268,8
34-11,150
34-12,150
34-14,150
46083,181
46082,124
46081,29
46080,138
46087,52
46086,181
46085,124
46084,181
49055,1790
49054,254
49057,52
46088,356
49051,724
49050,1613
49053,966
49052,111
55155,122
43109,13
43108,194
57230,923
57231,1558
57236,124
57237,361
57234,11207
57235,1367
43101,55
43100,57
43103,12
43102,1208
43105,811
43104,49
43107,57
43106,57
17148,485
17149,26
17145,965
17146,812
17147,574
17140,380
17141,587
17142,1028
17143,12422
60429,1542
60428,810
60421,5057
60420,856
60423,2160
60422,5057
60425,250
60424,1193
60427,124
60426,107
64216,795
64217,4383
64214,389
64215,152
64212,1029
64213,1868
64210,77
64211,795
64218,189
64219,473
21369,335
21368,956
80463,2101
79040,129
80461,627
80460,227
80467,1087
80466,103
80465,256
80464,592
80469,291
80468,2428
27594,84
27595,1250
27596,68
27597,1306
27590,47
27591,328
27592,1122
27593,1250
27598,300
27599,1991
49231,573
48018,1473
48019,63
21360,41
48012,472
48013,1473
48010,11
48016,1473
21363,142
48014,6
48015,17
49232,5
29259,1906
29255,2788
29254,6136
29257,1301
29256,187
29251,316
29250,1281
21364,11
21367,1758
78358,23045
78356,4015
78354,16708
21366,428
78350,3338
34280,8705
34281,2057
34282,1776
34283,6
34284,72
34285,2057
34286,1088
34287,1463
34288,8705
34289,402
72051,476
72050,178
72057,163
72056,935
79087,135
72054,1405
59508,3868
59509,1459
59502,114
59503,554
59500,218
59501,1334
59506,987
59507,12096
59504,638
59505,804
77025,24
78686,8626
78681,542
78683,3179
78688,13695
66214,3814
66215,475
66216,52
50308,162
66210,3814
66211,3814
66212,505
66213,1899
50302,310
50301,195
50300,54
66218,38
66219,954
50305,254
50304,291
23039,95
23038,82
23037,75
23036,133
23035,38
23034,75
23033,4346
23032,82
23031,82
23030,107
22348,417
22349,16191
22346,387
22347,779
22344,129
22345,387
22342,356
22343,1152
22340,1128
22341,319
77269,1327
77268,30003
77263,491
77262,60
77261,289
77260,842
77267,325
77266,64
77265,106
77264,591
73010,1072
73011,8131
73012,1531
73013,1531
73014,8131
73015,71
73017,2191
73018,4289
73019,273
95610,1057
95611,152
51160,738
51161,358
51162,226
51163,68
51164,115
51165,115
51166,19
51167,14
51168,738
51169,14
27279,643
27278,194
61299,115
61298,2214
27271,1036
27270,1007
27273,2249
61296,76
27275,1991
27274,123
27277,1036
27276,723
25527,1390
25526,266
25525,226
25524,545
25523,37
25522,209
25521,923
25520,179
25529,52
25528,269
02212,1991
02213,46
02210,201
02211,261
02216,1046
02217,96
02214,155
02215,131
74249,7489
02218,236
02219,96
57575,383
57574,1609
57577,321
57576,503
57571,882
57570,901
57573,174
57572,463
70542,1479
70541,1697
70540,164
57579,35
57578,1470
70545,98
70544,1860
75113,150
75112,150
75111,150
75110,150
75117,150
75116,150
75115,150
75114,150
75119,150
75118,150
77490,1021
77491,2396
77492,561
40069,709
40068,351
40063,1337
40062,193
40061,193
40060,11
02-20,150
02-21,150
40065,2543
40064,193
14149,587
14148,485
14145,357
14144,697
14147,485
14146,23
14141,62
14140,153
14143,342
14142,249
01299,459
01298,65
89111,86
01293,157
01292,42
01291,645
01290,2423
01297,3740
01296,196
01295,965
01294,2549
89113,14317
89115,666
11182,33
89116,476
11183,166
89117,68
11180,3
14499,1087
14498,1908
14493,587
14354,159
14491,727
14497,469
14496,23
14495,283
14355,571
38039,3711
38038,1348
14356,951
76499,112
76498,13601
38033,974
38032,1331
38031,10
14357,23
38037,1331
38036,3383
38035,1627
38034,1331
71001,749
71003,194
89042,47
89043,61
89040,93
71002,454
89046,59
89044,1057
89045,82
89048,14
89049,16
71007,228
55076,52
71006,461
55077,214
91111,1214
08377,331
08376,365
08375,365
08374,96
08373,25
08372,40
08371,728
08370,443
91115,1869
55078,83
08379,78
08378,78
47040,1792
47041,256
47042,133
47043,226
47044,68
47045,909
47046,205
47047,70
47048,108
47049,333
31517,2342
31516,2102
31515,3732
31514,1547
31513,26
31512,580
31511,431
31510,135
31519,1547
31518,5279
88319,293
88318,653
88315,1065
88314,47
88317,290
88316,364
88311,71
88310,38
88313,185
88312,245
39070,1403
39072,252
39073,494
39074,101
39075,210
39076,691
39077,399
39078,9622
39079,1427
69242,4357
44041,894
69240,801
69241,2085
69246,1396
69247,4
69244,17321
44040,801
69248,801
69249,2099
09-10,150
09-11,150
09-12,150
09-13,150
67078,2411
02601,261
44044,430
44046,519
67071,690
67070,729
17434,1206
17435,350
17436,350
17437,565
17430,145
17431,1142
17432,279
17433,279
17438,345
17439,518
80269,425
80268,270
68-15,150
68-14,150
80267,2216
68-16,150
80261,2536
80260,635
68-13,150
80262,270
62379,423
62378,423
62377,150
62376,775
62375,117
62374,169
62373,1143
62372,454
62371,1542
62370,188
85169,565
85168,384
76534,620
85161,779
85160,759
85163,1190
85162,267
85165,1662
85164,191
85167,3620
85166,3617
41073,258
41072,7133
29-21,150
29-20,150
29-27,150
29-26,150
29-25,150
41074,315
29167,1286
41079,487
41078,136
17273,965
29166,187
54242,152
54243,751
54240,90
54241,23
54246,147
54247,221
54244,90
54245,222
54248,90
54249,1471
95270,1251
95271,651
95277,14933
28054,2011
28055,2011
28056,731
28057,391
28050,1359
28051,391
28052,2730
28053,451
28058,2011
28059,106
61464,360
61465,4222
51362,698
51363,2732
51360,390
51361,14
51367,362
51364,474
51365,1384
51368,187
51369,390
61059,115
61058,4222
61057,43
61056,360
61055,85
61054,6
61053,50
61052,224
61051,360
61050,280
25321,565
25320,226
25323,52
25322,923
25325,62
25324,179
25327,299
25326,653
25329,209
25328,494
89177,16
28356,111
70347,2592
70343,185
70342,77
28354,534
59626,921
59625,208
59624,193
57009,124
57008,1149
57004,461
57007,463
57006,206
57001,218
57003,63
28353,391
16424,183
16425,746
59620,328
16420,123
16421,230
16422,418
16423,291
60094,13
60095,856
52189,48
60097,535
60090,856
60091,252
60092,252
60093,410
52183,76
52182,59
52181,14
52180,165
52187,13
60099,38
52185,66
52184,305
53272,92
53273,312
53270,229
53271,258
53276,586
53274,68
49248,255
21319,2124
21314,152
21315,3140
21316,213
49247,1716
21310,116
49241,5240
21312,13
49243,150
94075,4116
31078,26
94077,8051
94076,97106
94071,9936
94070,4116
94073,15863
31079,3732
94079,17507
94078,12004
95535,1057
50291,143
81323,177
50290,737
31072,142
31073,1728
31074,431
31075,5279
31076,1254
50296,381
78528,1567
78520,1430
78522,1188
78524,28293
62636,1480
62637,2627
62634,2031
62635,363
62632,775
62633,1696
62630,454
62631,366
62638,796
62639,1542
27419,1036
27418,1122
27411,622
27410,1944
27413,430
27412,6561
27415,328
27414,47
27417,723
27416,153
08171,26
08170,7015
08173,396
08172,50
08175,1342
08174,7015
67048,1544
08176,19
08179,728
08178,40
67044,949
67045,668
67043,16343
67040,7466
67041,700
64506,14
91292,1483
91293,1562
91294,279
81322,71
29048,830
29049,210
29044,1142
29045,1094
29046,3022
29047,2184
29040,974
29041,210
29042,2247
29043,1094
86296,208
86297,988
86294,939
86295,390
31069,72069
31068,131
31067,71
31066,742
31065,436
31064,131
31063,109
31062,177
31061,885
31060,93
55099,3193
55094,239
55095,205
55096,75
55097,143
55093,288
35294,3982
35295,253
35296,1716
35297,729
35290,253
35291,2431
35292,669
35293,855
35299,1001
24443,325
24442,903
24441,120
50119,135
24447,216
24446,48
24445,91
24444,423
50112,194
50110,287
50111,184
50116,615
50117,615
50114,312
50115,312
55549,21
55543,316
55540,288
55541,4409
